Date,Account,Category,Subcategory,Note,Income/Expense,Amount,Currency,Account
1/15/22 21:16,CUB - online payment,Food,,Snacks,Expense,70,INR,70
1/14/22 16:58,CUB - online payment,Other,,Kumara,Income,170,INR,170
1/14/22 16:56,CUB - online payment,Other,,Siva + 100 cash,Income,70,INR,70
1/14/22 16:56,CUB - online payment,Other,,Gundan + prasanna,Income,340,INR,340
1/14/22 16:55,CUB - online payment,Other,,Dinesh and maddy + 100 cash,Income,240,INR,240
1/14/22 16:54,CUB - online payment,Other,,From gowdham,Income,340,INR,340
1/14/22 16:54,CUB - online payment,Food,,Lunch pongal,Expense,1530,INR,1530
1/13/22 20:46,CUB - online payment,Food,,Dinner,Expense,66,INR,66
1/13/22 19:10,CUB - online payment,Other,,From dad,Income,1000,INR,1000
1/13/22 17:47,CUB - online payment,Transportation,,Rapido to pg,Expense,43,INR,43
1/12/22 22:44,CUB - online payment,Other,,Recharge by gowdham,Expense,479,INR,479
1/12/22 13:25,CUB - online payment,Food,,Pizza,Expense,301.75,INR,301.75
1/12/22 13:25,CUB - online payment,Other,,From kumara,Income,200,INR,200
1/11/22 14:07,CUB - online payment,Food,,Lunch with not preethi,Expense,135.5,INR,135.5
1/10/22 14:04,CUB - online payment,Food,,Friday snacks with preethi gang,Expense,106,INR,106
1/8/22 13:46,CUB - online payment,Other,,From gowdham,Income,260,INR,260
1/8/22 13:45,CUB - online payment,Food,,Lunch with gowdham,Expense,535.3,INR,535.3
1/8/22 13:38,CUB - online payment,Household,,Rent,Expense,4580,INR,4580
1/7/22 13:51,CUB - online payment,Food,,Coffee + biscuit,Expense,15,INR,15
1/6/22 21:30,CUB - online payment,Other,,From barath and shakur,Income,440,INR,440
1/6/22 20:58,CUB - online payment,Food,,Ketch up,Expense,20,INR,20
1/6/22 20:13,CUB - online payment,Food,,Dinner with roommate,Expense,877.81,INR,877.81
1/6/22 14:22,CUB - online payment,Food,,Bingo,Expense,10,INR,10
1/6/22 11:48,CUB - online payment,Transportation,,Rapido to pg,Expense,42,INR,42
1/5/22 20:23,CUB - online payment,Food,,McDonald's with company,Expense,211,INR,211
1/5/22 14:46,CUB - online payment,Other,,Lended money returned to vishnu,Expense,40,INR,40
1/5/22 14:42,CUB - online payment,Other,,Lended money returned to kumara,Expense,30,INR,30
1/5/22 14:42,CUB - online payment,Food,,Jan 2nd with shakur and barath,Expense,354,INR,354
1/5/22 14:39,CUB - online payment,Other,,To gobi 1st 1/4th,Expense,500,INR,500
1/5/22 14:37,CUB - online payment,Other,,To abijith and to vicky lend money returned,Expense,500,INR,500
1/5/22 14:35,CUB - online payment,Transportation,,Refund for bus ticket,Expense,60,INR,60
1/5/22 14:30,CUB - online payment,Food,,Lunch with company,Expense,388,INR,388
1/4/22 22:11,CUB - online payment,Education,,Arrear and reval fee,Expense,1400,INR,1400
1/4/22 22:10,CUB - online payment,Salary,,Salary,Income,8000,INR,8000
1/4/22 13:53,CUB - online payment,Food,,Lunch with company,Expense,106,INR,106
1/4/22 8:01,CUB - online payment,Other,,To vicky,Expense,80,INR,80
1/4/22 7:58,CUB - online payment,Food,,Sent to preethi,Expense,107,INR,107
1/3/22 22:15,CUB - online payment,Food,,Dairy milk,Expense,10,INR,10
1/3/22 21:54,CUB - online payment,Other,,From barath,Income,201,INR,201
1/3/22 21:12,CUB - online payment,Other,,From gpay,Income,5,INR,5
1/3/22 21:11,CUB - online payment,Other,,From shakur,Income,140,INR,140
1/3/22 14:31,CUB - online payment,Food,,Lunch unlimited nv,Expense,300,INR,300
1/3/22 14:30,CUB - online payment,Other,,From abi,Income,300,INR,300
1/2/22 20:33,CUB - online payment,Other,,Tablet to gowdham,Expense,8,INR,8
1/2/22 20:32,CUB - online payment,Food,,Dinner with barath,Expense,200,INR,200
1/2/22 14:16,CUB - online payment,Transportation,,Train to vnr,Expense,725,INR,725
1/1/22 21:46,CUB - online payment,Food,,Snacks,Expense,85,INR,85
1/1/22 21:45,CUB - online payment,Allowance,,From dad,Income,1000,INR,1000
12/30/21 14:10,CUB - online payment,Food,,To barath,Expense,20,INR,20
12/30/21 13:56,CUB - online payment,Transportation,,Pg to office,Expense,43,INR,43
12/30/21 13:36,CUB - online payment,Other,,From kumara,Income,30,INR,30
12/30/21 12:43,CUB - online payment,Food,,Horlicks + kolakattai,Expense,25,INR,25
12/30/21 12:38,CUB - online payment,Transportation,,Bommasandra to pg,Expense,199,INR,199
12/30/21 12:37,CUB - online payment,Other,,From Deepak,Income,250,INR,250
12/30/21 11:45,CUB - online payment,Food,,Water,Expense,20,INR,20
12/30/21 11:45,CUB - online payment,Other,,From abi,Income,20,INR,20
12/30/21 11:45,CUB - online payment,Transportation,,Rapido + toll,Expense,286,INR,286
12/30/21 11:44,CUB - online payment,Other,,From Deepak,Income,250,INR,250
12/28/21 13:42,CUB - online payment,Food,,Coffee and thattai,Expense,14,INR,14
12/27/21 13:45,CUB - online payment,Food,,Lunch with barath,Expense,115,INR,115
12/27/21 13:44,CUB - online payment,Other,,From vicky,Income,80,INR,80
12/27/21 12:33,CUB - online payment,Other,,From ganesan,Income,40,INR,40
12/27/21 12:33,CUB - online payment,Food,,Coconut water with stu,Expense,50,INR,50
12/25/21 22:53,CUB - online payment,Food,,Dinner with barath,Expense,504,INR,504
12/25/21 20:46,CUB - online payment,Transportation,,Cab,Expense,306,INR,306
12/25/21 19:50,CUB - online payment,Self-development,,Books,Expense,400,INR,400
12/25/21 17:01,CUB - online payment,Food,,Corn,Expense,30,INR,30
12/25/21 15:35,CUB - online payment,Food,,Water,Expense,30,INR,30
12/25/21 13:32,CUB - online payment,Food,,Milk with bharath,Expense,40,INR,40
12/24/21 21:49,CUB - online payment,Social Life,,Beer,Expense,150,INR,150
12/24/21 14:35,CUB - online payment,Food,,Lunch with company,Expense,262,INR,262
12/23/21 16:31,CUB - online payment,Food,,Lemon tea with company,Expense,15,INR,15
12/23/21 13:51,CUB - online payment,Food,,Puffs and coffee,Expense,32,INR,32
12/21/21 20:53,CUB - online payment,Food,,Dinner with barath,Expense,239,INR,239
12/21/21 14:02,CUB - online payment,Food,,Puffs,Expense,25,INR,25
12/21/21 11:43,CUB - online payment,Food,,Bun,Expense,18,INR,18
12/20/21 19:23,CUB - online payment,Food,,Milk with bharath,Expense,80,INR,80
12/20/21 19:22,CUB - online payment,Transportation,,Taxi,Expense,80,INR,80
12/20/21 16:55,CUB - online payment,Food,,Snacks,Expense,20,INR,20
12/20/21 15:29,CUB - online payment,Food,,Water,Expense,20,INR,20
12/20/21 13:35,CUB - online payment,Food,,Lunch with barath,Expense,85,INR,85
12/20/21 9:46,CUB - online payment,Food,,Milk with bharath,Expense,40,INR,40
12/19/21 15:51,CUB - online payment,Other,,To siva,Expense,100,INR,100
12/18/21 21:01,CUB - online payment,Other,,To kumara,Expense,100,INR,100
12/18/21 21:01,CUB - online payment,Other,,To abijith,Expense,200,INR,200
12/18/21 21:00,CUB - online payment,Food,,To rahul,Expense,113,INR,113
12/18/21 21:00,CUB - online payment,Allowance,,From dad,Income,1000,INR,1000
12/18/21 19:52,CUB - online payment,Other,,Lended money,Income,400,INR,400
12/18/21 19:51,CUB - online payment,Social Life,,Spiderman ,Expense,363.72,INR,363.72
12/18/21 14:19,CUB - online payment,Food,,Lunch,Expense,160,INR,160
12/17/21 18:54,CUB - online payment,Food,,Milk with bharath,Expense,70,INR,70
12/17/21 14:45,CUB - online payment,Food,,Lunch with company,Expense,110,INR,110
12/17/21 8:35,CUB - online payment,Other,,Gave to gowdham,Expense,50,INR,50
12/16/21 18:44,CUB - online payment,Food,,Egg,Expense,30,INR,30
12/16/21 18:35,CUB - online payment,Food,,Panipoori,Expense,20,INR,20
12/16/21 13:38,CUB - online payment,Food,,Lunch,Expense,30,INR,30
12/16/21 10:42,CUB - online payment,Food,,Milk with bharath,Expense,110,INR,110
12/14/21 23:54,CUB - online payment,Food,,Lunch,Expense,40,INR,40
12/14/21 21:21,CUB - online payment,Food,,Snacks,Expense,75,INR,75
12/14/21 21:03,CUB - online payment,Food,,Panipoori,Expense,80,INR,80
12/14/21 15:18,CUB - online payment,Food,,Snacks,Expense,74,INR,74
12/14/21 10:33,CUB - online payment,Food,,Milk with bharath,Expense,65,INR,65
12/12/21 21:47,CUB - online payment,Food,,Milk with bharath,Expense,25,INR,25
12/11/21 9:22,CUB - online payment,Allowance,,From dad,Income,1000,INR,1000
12/11/21 8:20,CUB - online payment,Other,,From stu,Income,240,INR,240
12/10/21 21:38,CUB - online payment,Food,,Shopping,Expense,241,INR,241
12/10/21 20:55,CUB - online payment,Food,,Momos,Expense,195,INR,195
12/9/21 20:03,CUB - online payment,Food,,Snack with bharath,Expense,40,INR,40
12/9/21 14:01,CUB - online payment,Food,,Lunch with company,Expense,280,INR,280
12/9/21 9:56,CUB - online payment,Food,,Milk with bharath,Expense,25,INR,25
12/9/21 8:47,CUB - online payment,Food,,Breakfast with stu,Expense,110,INR,110
12/8/21 14:15,CUB - online payment,Food,,Lunch with stu,Expense,100,INR,100
12/8/21 14:15,Cash,Food,,5 star,Expense,15,USD,15
12/8/21 7:17,CUB - online payment,Food,,Milk,Expense,10,INR,10
12/7/21 9:54,CUB - online payment,Food,,Milk with bharath,Expense,25,INR,25
12/7/21 7:59,CUB - online payment,Food,,Horlicks,Expense,15,INR,15
12/6/21 21:59,CUB - online payment,Food,,Milk with bharath,Expense,25,INR,25
12/6/21 20:07,CUB - online payment,Apparel,,Shoe,Expense,500,INR,500
12/6/21 19:57,CUB - online payment,Apparel,,Cap,Expense,140,INR,140
12/6/21 14:08,CUB - online payment,Food,,Lunch with stu,Expense,150,INR,150
12/5/21 19:45,CUB - online payment,Food,,Milk with bharath,Expense,25,INR,25
12/5/21 18:41,CUB - online payment,Apparel,,Full hand and a hoodie,Expense,1800,INR,1800
12/5/21 12:23,CUB - online payment,Household,,Rent,Expense,4800,INR,4800
12/5/21 12:23,CUB - online payment,Allowance,,From dad,Income,8000,INR,8000
12/4/21 21:05,CUB - online payment,Food,,Dinner,Expense,324,INR,324
12/4/21 20:20,CUB - online payment,Food,,Snack,Expense,65,INR,65
12/4/21 13:54,CUB - online payment,Other,,For company,Expense,30,INR,30
